Code,Area,median,mean
E02000741,Newham 028,356500,353935
E02000742,Newham 029,320000,315190
E02000743,Newham 030,332500,324194
E02000744,Newham 031,370000,366966
E02000745,Newham 032,351000,344000
E02000746,Newham 033,398450,403703
E02000747,Newham 034,386245,395966
E02000748,Newham 035,335000,333343
E02000749,Newham 036,358500,349763
E02000750,Newham 037,429175,481169
E02000751,Redbridge 001,650000,699313
E02000752,Redbridge 002,340000,364959
E02000753,Redbridge 003,357250,357261
E02000754,Redbridge 004,515000,493549
E02000755,Redbridge 005,415000,424966
E02000756,Redbridge 006,415000,428969
E02000757,Redbridge 007,441000,515066
E02000758,Redbridge 008,455000,444421
E02000759,Redbridge 009,480000,507500
E02000760,Redbridge 010,405000,390051
E02000762,Redbridge 012,543500,501314
E02000763,Redbridge 013,387000,362803
E02000764,Redbridge 014,452000,553301
E02000765,Redbridge 015,451500,423066
E02000767,Redbridge 017,402000,378875
E02000768,Redbridge 018,757500,750103
E02000769,Redbridge 019,357500,329167
E02000770,Redbridge 020,432000,381164
E02000772,Redbridge 022,430000,397081
E02000773,Redbridge 023,442250,404199
E02000774,Redbridge 024,415000,380894
E02000776,Redbridge 026,400000,414673
E02000777,Redbridge 027,745000,650690
E02000779,Redbridge 029,249995,275135
E02000780,Redbridge 030,327500,329499
E02000781,Redbridge 031,420000,407411
E02000782,Redbridge 032,331500,311039
E02000783,Redbridge 033,342000,325391
E02006800,Redbridge 034,345000,365741
E02006924,Redbridge 035,500000,467232
E02006925,Redbridge 036,522333,516819
E02000784,Richmond upon Thames 001,1240000,1438492
E02000785,Richmond upon Thames 002,897500,961564
E02000786,Richmond upon Thames 003,895000,1008301
E02000787,Richmond upon Thames 004,600000,688833
E02000788,Richmond upon Thames 005,890000,898566
E02000789,Richmond upon Thames 006,727500,925072
E02000790,Richmond upon Thames 007,830000,850128
E02000791,Richmond upon Thames 008,880000,1347449
E02000792,Richmond upon Thames 009,750000,916674
E02000793,Richmond upon Thames 010,472500,480477
E02000794,Richmond upon Thames 011,615000,789340
E02000795,Richmond upon Thames 012,1110750,1275063
E02000796,Richmond upon Thames 013,525000,510379
E02000797,Richmond upon Thames 014,580000,695397
E02000798,Richmond upon Thames 015,557250,569291
E02000799,Richmond upon Thames 016,547000,714977
E02000800,Richmond upon Thames 017,600000,617742
E02000801,Richmond upon Thames 018,657500,700082
E02000802,Richmond upon Thames 019,600000,644888
E02000803,Richmond upon Thames 020,430250,502830
E02000804,Richmond upon Thames 021,707500,753860
E02000805,Richmond upon Thames 022,611250,756766
E02000806,Richmond upon Thames 023,653500,694450
E02000807,Southwark 001,537000,561712
E02000808,Southwark 002,800000,943121
E02000809,Southwark 003,880000,1276460
E02000810,Southwark 004,529950,522568
E02000812,Southwark 006,625000,644461
E02000813,Southwark 007,496250,537293
E02000814,Southwark 008,575000,578298
E02000815,Southwark 009,475000,555093
E02000816,Southwark 010,380000,414990
E02000817,Southwark 011,407500,415813
E02000818,Southwark 012,517700,541164
E02000819,Southwark 013,380000,410771
E02000820,Southwark 014,495000,579680
E02000821,Southwark 015,535000,539165
E02000822,Southwark 016,450000,459622
E02000823,Southwark 017,477500,526937
E02000824,Southwark 018,472625,461577
E02000825,Southwark 019,342500,345618
E02000826,Southwark 020,384998,413943
E02000827,Southwark 021,463500,478881
E02000828,Southwark 022,359500,417049
E02000829,Southwark 023,527500,525712
E02000830,Southwark 024,512500,654467
E02000831,Southwark 025,585000,652009
E02000832,Southwark 026,477500,535003
E02000833,Southwark 027,397475,461403
E02000834,Southwark 028,551000,656597
E02000835,Southwark 029,558750,631836
E02000836,Southwark 030,655000,736581
E02000837,Southwark 031,1000000,1247404
E02000838,Southwark 032,529000,598611
E02000839,Southwark 033,503500,672787
E02006802,Southwark 034,698460,762157
E02000840,Sutton 001,334500,328365
E02000841,Sutton 002,332000,322521
E02000842,Sutton 003,427500,427920
E02000843,Sutton 004,305000,321545
E02000844,Sutton 005,349950,344090
E02000845,Sutton 006,425000,440584
E02000846,Sutton 007,408000,409465
E02000847,Sutton 008,439500,471476
E02000848,Sutton 009,465750,451043
E02000849,Sutton 010,386000,385809
E02000850,Sutton 011,390000,393909
E02000851,Sutton 012,335000,327601
E02000852,Sutton 013,401750,395008
E02000853,Sutton 014,395000,391408
E02000854,Sutton 015,397500,446776
E02000855,Sutton 016,537975,532185
E02000856,Sutton 017,305000,353191
E02000857,Sutton 018,305000,327170
E02000858,Sutton 019,297500,344072
E02000859,Sutton 020,370000,436533
E02000860,Sutton 021,280000,297290
E02000861,Sutton 022,645000,674166
E02000863,Sutton 024,520000,510226
E02006836,Sutton 025,450000,601047
E02000864,Tower Hamlets 001,420000,439787
E02000865,Tower Hamlets 002,490000,516280
E02000866,Tower Hamlets 003,595000,710919
E02000867,Tower Hamlets 004,425000,475993
E02000868,Tower Hamlets 005,544000,574401
E02000869,Tower Hamlets 006,772500,751367
E02000870,Tower Hamlets 007,478398,533147
E02000871,Tower Hamlets 008,345000,358379
E02000872,Tower Hamlets 009,640125,647303
E02000873,Tower Hamlets 010,583000,530116
E02000874,Tower Hamlets 011,468500,492133
E02000875,Tower Hamlets 012,375000,385839
E02000876,Tower Hamlets 013,455000,448195
E02000877,Tower Hamlets 014,490000,458755
E02000878,Tower Hamlets 015,525500,694224
E02000879,Tower Hamlets 016,442500,514644
E02000880,Tower Hamlets 017,445000,487155
E02000881,Tower Hamlets 018,379000,393525
E02000882,Tower Hamlets 019,377500,403994
E02000883,Tower Hamlets 020,341500,364709
E02000884,Tower Hamlets 021,722650,783834
E02000885,Tower Hamlets 022,363194,382452
E02000886,Tower Hamlets 023,441602,480915
E02000887,Tower Hamlets 024,385000,384642
E02000888,Tower Hamlets 025,430000,525505
E02000889,Tower Hamlets 026,784950,830314
E02000890,Tower Hamlets 027,690000,920539
E02000891,Tower Hamlets 028,523210,578100
E02000893,Tower Hamlets 030,473500,511136
E02000894,Tower Hamlets 031,460000,486223
E02006853,Tower Hamlets 032,470000,490520
E02006854,Tower Hamlets 033,538900,579342
E02000895,Waltham Forest 001,422500,424443
E02000896,Waltham Forest 002,469000,520791
E02000897,Waltham Forest 003,410000,430727
E02000898,Waltham Forest 004,437500,433543
E02000899,Waltham Forest 005,433750,421778
E02000900,Waltham Forest 006,399000,361939
E02000901,Waltham Forest 007,517000,527700
E02000902,Waltham Forest 008,338000,360931
E02000903,Waltham Forest 009,437500,440179
E02000904,Waltham Forest 010,462500,470859
E02000905,Waltham Forest 011,510000,529197
E02000906,Waltham Forest 012,453500,477239
E02000907,Waltham Forest 013,432500,475123
E02000908,Waltham Forest 014,450000,426998
E02000909,Waltham Forest 015,530000,558658
E02000910,Waltham Forest 016,520000,536663
E02000911,Waltham Forest 017,446250,451980
E02000912,Waltham Forest 018,495000,475666
E02000913,Waltham Forest 019,485000,483058
E02000914,Waltham Forest 020,420000,444810
E02000915,Waltham Forest 021,416500,484240
E02000916,Waltham Forest 022,385000,388758
E02000917,Waltham Forest 023,439250,448434
E02000918,Waltham Forest 024,474500,503802
E02000919,Waltham Forest 025,492500,501442
E02000920,Waltham Forest 026,420000,416006
E02000921,Waltham Forest 027,415250,408234
E02000922,Waltham Forest 028,442075,421225
E02000923,Wandsworth 001,830000,1018048
E02000924,Wandsworth 002,826260,1033788
E02000925,Wandsworth 003,605250,866917
E02000926,Wandsworth 004,680000,805805
E02000927,Wandsworth 005,665000,700369
E02000928,Wandsworth 006,825000,1021049
E02000929,Wandsworth 007,493475,501634
E02000930,Wandsworth 008,736250,802483
E02000931,Wandsworth 009,775000,927633
E02000932,Wandsworth 010,631250,735072
E02000933,Wandsworth 011,575000,716987
E02000934,Wandsworth 012,710000,810803
E02000935,Wandsworth 013,367000,594783
E02000936,Wandsworth 014,495000,570358
E02000937,Wandsworth 015,882800,1251906
E02000938,Wandsworth 016,610000,775742
E02000939,Wandsworth 017,1246500,1371103
E02000940,Wandsworth 018,472500,498022
E02000941,Wandsworth 019,625000,849421
E02000942,Wandsworth 020,842500,870050
E02000943,Wandsworth 021,606250,774520
E02000944,Wandsworth 022,407500,456577
E02000945,Wandsworth 023,395000,495010
E02000946,Wandsworth 024,568000,628381
E02000947,Wandsworth 025,660000,691353
E02000948,Wandsworth 026,605000,678798
E02000949,Wandsworth 027,695000,928102
E02000950,Wandsworth 028,445000,597727
E02000951,Wandsworth 029,580000,666341
E02000952,Wandsworth 030,647500,829436
E02000953,Wandsworth 031,625000,667307
E02000954,Wandsworth 032,625000,688583
E02000955,Wandsworth 033,525000,571150
E02000956,Wandsworth 034,459250,500363
E02000957,Wandsworth 035,525000,566043
E02000958,Wandsworth 036,682500,685273
E02000959,Wandsworth 037,434000,463540
E02000960,Westminster 001,1144000,1626454
E02000961,Westminster 002,1025000,2159199
E02000962,Westminster 003,817500,1432348
E02000963,Westminster 004,600000,647064
E02000964,Westminster 005,547500,595148
E02000965,Westminster 006,765000,817171
E02000966,Westminster 007,947500,1518582
E02000967,Westminster 008,1385000,2577950
E02000968,Westminster 009,502500,617655
E02000969,Westminster 010,600000,692677
E02000970,Westminster 011,1827500,3097344
E02000971,Westminster 012,1000000,1335951
E02000972,Westminster 013,1895000,2380234
E02000973,Westminster 014,1050000,1422876
E02000974,Westminster 015,1278750,1599149
E02000975,Westminster 016,1000000,1607179
E02000976,Westminster 017,870250,1179615
E02000977,Westminster 018,1900000,2416267
E02000978,Westminster 019,2882600,4416659
E02000979,Westminster 020,1270000,1545453
E02000980,Westminster 021,995000,1329539
E02000981,Westminster 022,845000,966280
E02000982,Westminster 023,800000,1059011
E02000983,Westminster 024,705000,951300
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
